,age,job,marital,education,housing,loan,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
14512,37,blue-collar,married,3.0,no,no,1.4,93.918,-42.7,4.961,5228,no
21444,35,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
1706,39,management,single,7.0,no,no,1.1,93.994,-36.4,4.855,5191,no
5918,44,blue-collar,single,3.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
23881,46,technician,married,,yes,no,1.4,93.444,-36.1,4.963,5228,no
39907,32,admin.,single,7.0,no,no,-1.7,94.055,-39.8,0.737,4992,yes
12539,36,technician,married,7.0,yes,no,1.4,93.918,-42.7,4.96,5228,no
39421,53,technician,married,7.0,,,-1.8,93.749,-34.6,0.64,5009,yes
2405,40,blue-collar,married,5.0,no,no,1.1,93.994,-36.4,4.856,5191,no
21196,37,technician,married,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
27343,31,unemployed,married,5.0,no,yes,-0.1,93.2,-42.0,4.021,5196,no
2789,39,management,married,7.0,yes,no,1.1,93.994,-36.4,4.859,5191,no
7030,38,blue-collar,married,3.0,yes,no,1.1,93.994,-36.4,4.86,5191,no
13334,37,entrepreneur,divorced,7.0,no,yes,1.4,93.918,-42.7,4.962,5228,no
6828,31,blue-collar,married,4.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
24490,32,admin.,divorced,5.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
30315,39,management,married,6.0,no,no,-1.8,93.075,-47.1,1.365,5099,no
22830,47,blue-collar,married,7.0,no,no,1.4,93.444,-36.1,4.965,5228,no
4342,33,blue-collar,single,4.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
20396,52,management,married,7.0,no,no,1.4,93.444,-36.1,4.966,5228,no
38764,29,student,single,6.0,yes,yes,-3.4,92.649,-30.1,0.714,5018,yes
9410,41,blue-collar,married,4.0,no,no,1.4,94.465,-41.8,4.967,5228,no
19368,59,housemaid,married,2.0,no,no,1.4,93.444,-36.1,4.967,5228,no
1037,28,technician,single,6.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
3100,37,admin.,divorced,4.0,no,no,1.1,93.994,-36.4,4.86,5191,no
229,45,blue-collar,married,2.0,yes,yes,1.1,93.994,-36.4,4.857,5191,no
18844,36,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.97,5228,no
12,29,blue-collar,single,5.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
38855,30,blue-collar,single,5.0,,,-3.4,92.649,-30.1,0.714,5018,yes
26214,36,blue-collar,married,5.0,yes,no,-0.1,93.2,-42.0,4.076,5196,no
23894,37,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
19897,29,admin.,single,7.0,yes,no,1.4,93.444,-36.1,4.966,5228,no
4937,36,services,single,3.0,yes,yes,1.1,93.994,-36.4,4.858,5191,no
13839,27,student,single,4.0,no,no,1.4,93.918,-42.7,4.963,5228,no
26294,41,services,single,5.0,yes,no,-0.1,93.2,-42.0,4.076,5196,no
25858,34,,divorced,2.0,no,no,-0.1,93.2,-42.0,4.12,5196,no
32025,50,blue-collar,married,2.0,no,no,-1.8,92.893,-46.2,1.327,5099,no
40068,32,admin.,single,7.0,no,no,-1.7,94.215,-40.3,0.81,4992,no
25112,45,self-employed,married,2.0,yes,no,-0.1,93.2,-42.0,4.153,5196,no
20182,30,management,married,5.0,no,no,1.4,93.444,-36.1,4.965,5228,no
7072,35,technician,single,7.0,no,no,1.1,93.994,-36.4,4.86,5191,no
12320,30,admin.,single,5.0,yes,no,1.4,93.918,-42.7,4.959,5228,no
24544,34,admin.,married,5.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
28844,50,services,single,3.0,no,no,-1.8,93.075,-47.1,1.41,5099,no
17865,48,blue-collar,married,3.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
33604,38,student,divorced,,yes,no,-1.8,92.893,-46.2,1.291,5099,no
1952,39,housemaid,married,2.0,yes,yes,1.1,93.994,-36.4,4.855,5191,no
17654,58,admin.,divorced,7.0,no,no,1.4,93.918,-42.7,4.962,5228,no
4255,52,blue-collar,single,4.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
1309,48,blue-collar,married,3.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
20895,31,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.964,5228,no
39295,52,admin.,married,7.0,no,no,-1.8,93.369,-34.8,0.646,5009,yes
21267,38,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
1746,50,admin.,married,5.0,yes,yes,1.1,93.994,-36.4,4.855,5191,no
16169,56,retired,married,2.0,no,no,1.4,93.918,-42.7,4.961,5228,no
18137,41,housemaid,married,3.0,no,no,1.4,93.918,-42.7,4.963,5228,no
10391,45,admin.,married,5.0,yes,yes,1.4,94.465,-41.8,4.96,5228,no
317,56,retired,married,3.0,no,no,1.1,93.994,-36.4,4.857,5191,no
35402,41,management,married,,yes,no,-1.8,92.893,-46.2,1.25,5099,no
7144,42,self-employed,married,3.0,yes,yes,1.1,93.994,-36.4,4.86,5191,no
17731,36,blue-collar,married,3.0,no,no,1.4,93.918,-42.7,4.961,5228,no
38134,62,self-employed,married,7.0,no,no,-3.4,92.379,-29.8,0.741,5018,no
12073,30,blue-collar,married,4.0,no,no,1.4,94.465,-41.8,4.947,5228,no
2105,27,admin.,single,5.0,,,1.1,93.994,-36.4,4.857,5191,no
40686,83,retired,divorced,2.0,no,no,-1.1,94.199,-37.5,0.879,4964,yes
27668,40,technician,married,7.0,yes,no,-0.1,93.2,-42.0,4.021,5196,no
32936,30,blue-collar,married,3.0,yes,yes,-1.8,92.893,-46.2,1.299,5099,no
14457,31,blue-collar,single,5.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
32810,41,services,divorced,5.0,yes,no,-1.8,92.893,-46.2,1.299,5099,no
24328,52,management,divorced,7.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
22031,34,technician,married,5.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
26851,30,self-employed,married,6.0,yes,no,-0.1,93.2,-42.0,4.076,5196,no
28748,26,student,single,7.0,yes,no,-1.8,93.075,-47.1,1.41,5099,no
31202,28,technician,single,6.0,no,no,-1.8,92.893,-46.2,1.334,5099,no
178,28,services,married,5.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
41115,42,services,divorced,7.0,,,-1.1,94.767,-50.8,1.046,4964,yes
16661,26,admin.,single,7.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
21291,31,self-employed,single,6.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
19235,30,admin.,single,7.0,yes,no,1.4,93.444,-36.1,4.967,5228,no
25308,39,technician,single,6.0,yes,no,-0.1,93.2,-42.0,4.153,5196,no
40579,35,services,married,7.0,yes,no,-1.1,94.199,-37.5,0.884,4964,no
36794,20,technician,single,,no,no,-2.9,92.963,-40.8,1.26,5076,yes
1515,35,technician,married,7.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
39062,76,retired,married,7.0,,,-3.0,92.713,-33.0,0.712,5024,no
10072,49,technician,divorced,,no,no,1.4,94.465,-41.8,4.958,5228,no
31627,33,self-employed,divorced,7.0,yes,no,-1.8,92.893,-46.2,1.327,5099,no
31658,30,blue-collar,single,3.0,yes,no,-1.8,92.893,-46.2,1.327,5099,yes
11424,32,services,married,5.0,yes,no,1.4,94.465,-41.8,4.959,5228,no
9960,51,unemployed,married,5.0,yes,no,1.4,94.465,-41.8,4.959,5228,no
23849,51,management,married,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
19556,50,services,married,3.0,yes,no,1.4,93.444,-36.1,4.968,5228,no
21376,30,technician,married,6.0,no,no,1.4,93.444,-36.1,4.963,5228,no
23553,43,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.962,5228,no
22367,50,admin.,married,,yes,no,1.4,93.444,-36.1,4.963,5228,no
24629,38,management,married,7.0,no,no,-0.1,93.2,-42.0,4.191,5196,no
7745,30,services,married,5.0,no,no,1.1,93.994,-36.4,4.864,5191,no
31114,38,blue-collar,married,2.0,yes,no,-1.8,92.893,-46.2,1.334,5099,no
18890,44,services,married,6.0,no,yes,1.4,93.444,-36.1,4.97,5228,no
15286,29,admin.,married,7.0,yes,no,1.4,93.918,-42.7,4.958,5228,no
30686,42,blue-collar,married,4.0,no,no,-1.8,92.893,-46.2,1.344,5099,no
30682,34,blue-collar,married,4.0,no,no,-1.8,92.893,-46.2,1.344,5099,no
40918,26,technician,single,6.0,no,no,-1.1,94.601,-49.5,0.977,4964,no
2766,38,services,married,5.0,no,no,1.1,93.994,-36.4,4.859,5191,no
21528,50,blue-collar,married,2.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
3228,40,admin.,married,5.0,no,no,1.1,93.994,-36.4,4.86,5191,no
22185,30,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
179,37,blue-collar,married,4.0,no,no,1.1,93.994,-36.4,4.857,5191,no
19990,42,self-employed,married,7.0,no,yes,1.4,93.444,-36.1,4.966,5228,no
25758,30,admin.,divorced,5.0,yes,no,-0.1,93.2,-42.0,4.12,5196,no
5798,30,blue-collar,married,4.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
27921,56,blue-collar,married,2.0,yes,no,-1.8,92.843,-50.0,1.531,5099,yes
21448,41,admin.,divorced,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
37399,34,blue-collar,married,5.0,yes,no,-2.9,92.201,-31.4,0.879,5076,no
28548,45,services,married,5.0,yes,no,-1.8,93.075,-47.1,1.415,5099,no
30618,30,,married,6.0,no,no,-1.8,92.893,-46.2,1.354,5099,no
23154,39,technician,divorced,6.0,yes,no,1.4,93.444,-36.1,4.965,5228,no
14644,33,services,married,5.0,no,no,1.4,93.918,-42.7,4.961,5228,no
26743,34,blue-collar,married,4.0,yes,yes,-0.1,93.2,-42.0,4.076,5196,no
5321,27,blue-collar,married,,yes,no,1.1,93.994,-36.4,4.857,5191,no
7181,49,management,married,2.0,yes,no,1.1,93.994,-36.4,4.86,5191,no
33971,33,admin.,single,5.0,no,no,-1.8,92.893,-46.2,1.281,5099,no
39875,31,technician,married,6.0,yes,no,-1.7,94.055,-39.8,0.723,4992,yes
3994,47,services,divorced,5.0,no,no,1.1,93.994,-36.4,4.858,5191,no
27602,57,technician,married,6.0,yes,no,-0.1,93.2,-42.0,4.021,5196,no
4253,41,blue-collar,married,2.0,no,no,1.1,93.994,-36.4,4.856,5191,no
17497,44,services,divorced,5.0,yes,yes,1.4,93.918,-42.7,4.962,5228,no
15175,29,admin.,single,4.0,no,no,1.4,93.918,-42.7,4.958,5228,no
15894,27,admin.,single,5.0,no,no,1.4,93.918,-42.7,4.96,5228,no
8142,48,blue-collar,married,2.0,no,no,1.4,94.465,-41.8,4.864,5228,no
7625,39,blue-collar,married,2.0,yes,no,1.1,93.994,-36.4,4.864,5191,no
38568,36,technician,married,7.0,yes,yes,-3.4,92.431,-26.9,0.722,5018,no
18452,32,admin.,married,7.0,yes,no,1.4,93.918,-42.7,4.968,5228,no
4865,35,blue-collar,married,4.0,no,no,1.1,93.994,-36.4,4.858,5191,no
13429,27,technician,single,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
12413,44,technician,divorced,6.0,no,no,1.4,93.918,-42.7,4.96,5228,no
27880,19,student,single,3.0,no,no,-1.8,92.843,-50.0,1.556,5099,yes
30525,31,student,single,,no,yes,-1.8,92.893,-46.2,1.354,5099,no
19319,55,retired,married,2.0,yes,yes,1.4,93.444,-36.1,4.967,5228,no
28350,38,services,single,5.0,yes,no,-1.8,93.075,-47.1,1.445,5099,yes
22590,32,technician,married,6.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
6647,27,blue-collar,single,2.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
15244,32,admin.,single,5.0,no,no,1.4,93.918,-42.7,4.958,5228,no
40604,31,admin.,single,5.0,no,no,-1.1,94.199,-37.5,0.883,4964,yes
1545,56,entrepreneur,married,7.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
33250,28,technician,married,4.0,no,no,-1.8,92.893,-46.2,1.291,5099,no
7518,28,services,single,5.0,no,no,1.1,93.994,-36.4,4.864,5191,no
6420,49,services,divorced,5.0,no,no,1.1,93.994,-36.4,4.857,5191,no
19524,31,admin.,divorced,7.0,yes,no,1.4,93.444,-36.1,4.968,5228,no
39329,39,technician,divorced,5.0,no,no,-1.8,93.369,-34.8,0.639,5009,yes
7550,43,blue-collar,married,4.0,no,no,1.1,93.994,-36.4,4.864,5191,yes
20166,35,technician,married,6.0,yes,yes,1.4,93.444,-36.1,4.965,5228,no
34383,29,services,single,5.0,no,no,-1.8,92.893,-46.2,1.266,5099,yes
10212,48,admin.,married,5.0,no,no,1.4,94.465,-41.8,4.96,5228,no
20577,33,technician,married,6.0,no,no,1.4,93.444,-36.1,4.966,5228,no
27618,53,unemployed,single,4.0,no,no,-0.1,93.2,-42.0,4.021,5196,no
37000,34,admin.,married,5.0,no,no,-2.9,92.469,-33.6,1.059,5076,no
10147,55,blue-collar,divorced,2.0,no,no,1.4,94.465,-41.8,4.958,5228,no
2900,42,blue-collar,married,4.0,yes,no,1.1,93.994,-36.4,4.859,5191,no
34842,34,blue-collar,married,6.0,yes,yes,-1.8,92.893,-46.2,1.25,5099,no
11452,49,technician,divorced,,,,1.4,94.465,-41.8,4.959,5228,no
18744,54,admin.,married,7.0,yes,no,1.4,93.918,-42.7,4.968,5228,no
21824,29,admin.,single,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
18479,43,admin.,married,,yes,no,1.4,93.918,-42.7,4.968,5228,no
17615,53,management,married,,no,no,1.4,93.918,-42.7,4.962,5228,no
29256,34,blue-collar,married,4.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
17447,53,unemployed,married,3.0,no,no,1.4,93.918,-42.7,4.962,5228,no
6142,57,management,divorced,7.0,no,no,1.1,93.994,-36.4,4.857,5191,no
11214,40,management,married,7.0,no,no,1.4,94.465,-41.8,4.961,5228,no
17197,55,management,married,4.0,yes,no,1.4,93.918,-42.7,4.962,5228,no
27699,48,admin.,married,3.0,no,no,-1.8,92.843,-50.0,1.811,5099,no
40352,47,services,divorced,,yes,no,-1.7,94.027,-38.3,0.899,4992,yes
31297,41,blue-collar,married,3.0,yes,no,-1.8,92.893,-46.2,1.334,5099,no
11739,48,entrepreneur,married,6.0,no,no,1.4,94.465,-41.8,4.959,5228,no
36444,38,entrepreneur,married,6.0,yes,yes,-2.9,92.963,-40.8,1.262,5076,no
38585,37,admin.,single,7.0,yes,no,-3.4,92.431,-26.9,0.72,5018,no
21935,29,technician,single,7.0,no,no,1.4,93.444,-36.1,4.964,5228,no
25591,50,entrepreneur,married,2.0,yes,no,-0.1,93.2,-42.0,4.12,5196,no
29024,44,blue-collar,married,5.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
11373,40,technician,married,6.0,no,no,1.4,94.465,-41.8,4.959,5228,no
11328,52,blue-collar,married,2.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
40894,39,housemaid,married,2.0,no,no,-1.1,94.601,-49.5,0.972,4964,no
18183,36,admin.,married,5.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
39468,29,admin.,single,7.0,yes,no,-1.8,93.749,-34.6,0.643,5009,no
2600,36,services,married,5.0,no,no,1.1,93.994,-36.4,4.856,5191,no
21395,40,technician,single,7.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
21822,30,technician,single,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
8328,29,admin.,divorced,6.0,yes,no,1.4,94.465,-41.8,4.864,5228,no
29676,56,housemaid,married,2.0,yes,no,-1.8,93.075,-47.1,1.405,5099,yes
2363,34,services,married,4.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
27854,33,technician,single,7.0,yes,no,-1.8,92.843,-50.0,1.614,5099,no
23884,43,technician,married,5.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
38790,52,blue-collar,single,4.0,yes,no,-3.4,92.649,-30.1,0.714,5018,no
17247,42,admin.,married,7.0,no,no,1.4,93.918,-42.7,4.962,5228,no
33824,43,blue-collar,married,2.0,yes,no,-1.8,92.893,-46.2,1.281,5099,no
1484,38,blue-collar,married,3.0,no,no,1.1,93.994,-36.4,4.855,5191,no
31741,44,technician,divorced,6.0,no,no,-1.8,92.893,-46.2,1.327,5099,no
40945,54,admin.,married,5.0,no,no,-1.1,94.601,-49.5,0.985,4964,yes
2158,31,services,married,5.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
19242,56,blue-collar,married,4.0,yes,no,1.4,93.444,-36.1,4.967,5228,no
8106,31,services,married,3.0,no,no,1.4,94.465,-41.8,4.865,5228,no
28002,43,self-employed,married,5.0,yes,no,-1.8,93.075,-47.1,1.498,5099,no
12948,27,management,single,7.0,yes,yes,1.4,93.918,-42.7,4.962,5228,no
8460,41,management,married,7.0,no,no,1.4,94.465,-41.8,4.864,5228,no
9631,25,technician,single,5.0,yes,yes,1.4,94.465,-41.8,4.961,5228,no
20623,33,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.965,5228,no
28383,38,technician,married,5.0,no,no,-1.8,93.075,-47.1,1.435,5099,no
12580,36,admin.,married,7.0,no,no,1.4,93.918,-42.7,4.96,5228,no
32145,39,blue-collar,divorced,4.0,yes,no,-1.8,92.893,-46.2,1.313,5099,no
36768,33,student,single,,no,no,-2.9,92.963,-40.8,1.268,5076,no
4312,41,services,married,5.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
2163,48,blue-collar,married,4.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
15185,56,admin.,divorced,3.0,no,yes,1.4,93.918,-42.7,4.958,5228,no
40675,27,technician,single,7.0,yes,no,-1.1,94.199,-37.5,0.879,4964,yes
7285,54,technician,divorced,7.0,no,yes,1.1,93.994,-36.4,4.86,5191,no
39347,36,admin.,single,,yes,no,-1.8,93.369,-34.8,0.635,5009,no
4756,38,technician,married,6.0,yes,yes,1.1,93.994,-36.4,4.858,5191,no
32879,57,technician,married,5.0,no,yes,-1.8,92.893,-46.2,1.299,5099,no
27673,32,admin.,married,5.0,no,no,-0.1,93.2,-42.0,4.021,5196,no
18362,46,technician,divorced,6.0,yes,no,1.4,93.918,-42.7,4.968,5228,no
34843,34,technician,divorced,6.0,yes,yes,-1.8,92.893,-46.2,1.25,5099,no
24954,49,blue-collar,married,2.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
25997,29,blue-collar,married,6.0,no,no,-0.1,93.2,-42.0,4.12,5196,no
40162,80,retired,married,2.0,no,no,-1.7,94.215,-40.3,0.846,4992,yes
2886,35,,married,4.0,no,yes,1.1,93.994,-36.4,4.859,5191,no
10507,46,admin.,single,7.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
28136,55,retired,married,2.0,yes,no,-1.8,93.075,-47.1,1.466,5099,yes
32367,30,services,single,5.0,no,no,-1.8,92.893,-46.2,1.313,5099,no
9576,44,blue-collar,married,6.0,no,no,1.4,94.465,-41.8,4.961,5228,no
18928,54,technician,divorced,5.0,no,no,1.4,93.444,-36.1,4.97,5228,no
25169,46,technician,divorced,2.0,yes,no,-0.1,93.2,-42.0,4.153,5196,no
7690,37,self-employed,married,5.0,no,no,1.1,93.994,-36.4,4.864,5191,no
34259,47,blue-collar,married,2.0,no,no,-1.8,92.893,-46.2,1.266,5099,no
19914,29,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.966,5228,no
15719,38,blue-collar,single,4.0,no,yes,1.4,93.918,-42.7,4.96,5228,no
37916,18,student,single,,no,no,-3.4,92.379,-29.8,0.809,5018,yes
29867,44,blue-collar,married,4.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
25170,35,services,single,6.0,yes,no,-0.1,93.2,-42.0,4.153,5196,no
33869,27,admin.,single,5.0,no,no,-1.8,92.893,-46.2,1.281,5099,no
40188,59,technician,married,6.0,yes,no,-1.7,94.215,-40.3,0.861,4992,yes
16973,57,blue-collar,married,2.0,no,no,1.4,93.918,-42.7,4.962,5228,no
17204,53,admin.,married,7.0,no,no,1.4,93.918,-42.7,4.962,5228,no
17823,57,technician,married,4.0,no,no,1.4,93.918,-42.7,4.961,5228,no
27081,53,self-employed,married,7.0,yes,no,-0.1,93.2,-42.0,4.021,5196,yes
3497,25,admin.,single,5.0,no,yes,1.1,93.994,-36.4,4.86,5191,no
40007,52,admin.,married,7.0,yes,yes,-1.7,94.055,-39.8,0.767,4992,no
8413,31,housemaid,married,7.0,no,yes,1.4,94.465,-41.8,4.864,5228,no
17022,47,technician,divorced,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
26235,55,admin.,married,4.0,no,no,-0.1,93.2,-42.0,4.076,5196,no
7231,37,admin.,married,7.0,yes,no,1.1,93.994,-36.4,4.86,5191,no
191,38,blue-collar,single,4.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
30366,49,technician,single,7.0,yes,no,-1.8,93.075,-47.1,1.365,5099,yes
34482,36,blue-collar,married,4.0,yes,no,-1.8,92.893,-46.2,1.266,5099,no
36664,27,admin.,single,7.0,yes,no,-2.9,92.963,-40.8,1.268,5076,no
35925,27,admin.,single,7.0,yes,yes,-1.8,92.893,-46.2,1.264,5099,no
33305,33,blue-collar,single,3.0,yes,no,-1.8,92.893,-46.2,1.291,5099,no
5541,42,services,married,,no,no,1.1,93.994,-36.4,4.857,5191,no
35822,25,unemployed,married,7.0,no,no,-1.8,92.893,-46.2,1.244,5099,no
15955,36,services,married,5.0,yes,yes,1.4,93.918,-42.7,4.96,5228,no
40108,62,technician,married,,no,no,-1.7,94.215,-40.3,0.827,4992,yes
15884,26,admin.,single,7.0,yes,no,1.4,93.918,-42.7,4.96,5228,no
5201,48,services,single,5.0,yes,yes,1.1,93.994,-36.4,4.857,5191,no
38356,36,admin.,married,7.0,no,no,-3.4,92.431,-26.9,0.739,5018,yes
13331,26,blue-collar,single,4.0,yes,yes,1.4,93.918,-42.7,4.962,5228,no
26763,30,blue-collar,married,4.0,yes,no,-0.1,93.2,-42.0,4.076,5196,no
33208,33,services,married,5.0,yes,no,-1.8,92.893,-46.2,1.291,5099,no
9744,37,blue-collar,divorced,4.0,yes,yes,1.4,94.465,-41.8,4.961,5228,no
9899,33,admin.,single,7.0,yes,yes,1.4,94.465,-41.8,4.959,5228,no
28598,58,retired,divorced,7.0,yes,no,-1.8,93.075,-47.1,1.415,5099,yes
31075,31,blue-collar,married,5.0,yes,no,-1.8,92.893,-46.2,1.334,5099,no
22373,57,technician,married,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
21815,33,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.964,5228,no
13680,24,admin.,single,5.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
29610,26,blue-collar,single,4.0,no,no,-1.8,93.075,-47.1,1.405,5099,yes
21515,33,admin.,single,5.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
335,49,entrepreneur,married,5.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
35898,34,admin.,single,7.0,yes,yes,-1.8,92.893,-46.2,1.259,5099,no
13549,49,blue-collar,married,4.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
29401,19,student,single,,yes,yes,-1.8,93.075,-47.1,1.405,5099,yes
7828,25,blue-collar,married,4.0,no,no,1.4,94.465,-41.8,4.865,5228,no
12077,35,technician,single,6.0,no,no,1.4,94.465,-41.8,4.947,5228,no
1899,33,admin.,married,5.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
4385,32,services,married,5.0,no,no,1.1,93.994,-36.4,4.856,5191,no
967,31,blue-collar,married,2.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
22815,29,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.965,5228,no
4519,43,services,married,5.0,no,no,1.1,93.994,-36.4,4.856,5191,no
17272,35,management,divorced,7.0,no,no,1.4,93.918,-42.7,4.962,5228,no
25406,42,admin.,married,5.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
1805,34,admin.,married,5.0,yes,yes,1.1,93.994,-36.4,4.855,5191,no
12903,23,admin.,single,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
33775,34,housemaid,single,5.0,no,no,-1.8,92.893,-46.2,1.281,5099,yes
32535,36,services,married,5.0,yes,yes,-1.8,92.893,-46.2,1.313,5099,no
32843,52,services,married,5.0,yes,no,-1.8,92.893,-46.2,1.299,5099,yes
22946,53,management,married,7.0,no,no,1.4,93.444,-36.1,4.965,5228,no
39156,24,admin.,single,7.0,yes,no,-1.8,93.369,-34.8,0.655,5009,yes
32966,26,student,single,5.0,no,no,-1.8,92.893,-46.2,1.299,5099,no
21095,35,technician,married,7.0,,,1.4,93.444,-36.1,4.964,5228,yes
23301,46,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
8898,55,retired,married,6.0,yes,no,1.4,94.465,-41.8,4.866,5228,no
34273,35,blue-collar,married,3.0,yes,yes,-1.8,92.893,-46.2,1.266,5099,no
24365,45,services,divorced,5.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
12888,39,services,married,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
6365,51,technician,married,4.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
15931,33,blue-collar,married,,no,no,1.4,93.918,-42.7,4.96,5228,no
7975,37,admin.,married,7.0,no,no,1.4,94.465,-41.8,4.865,5228,no
13896,37,blue-collar,married,4.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
247,36,technician,single,5.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
33771,34,admin.,married,7.0,yes,no,-1.8,92.893,-46.2,1.281,5099,no
18364,42,admin.,married,5.0,no,yes,1.4,93.918,-42.7,4.968,5228,no
39089,41,admin.,married,7.0,yes,no,-3.0,92.713,-33.0,0.707,5024,yes
29525,29,technician,single,7.0,no,yes,-1.8,93.075,-47.1,1.405,5099,no
32499,30,admin.,married,7.0,yes,no,-1.8,92.893,-46.2,1.313,5099,no
13432,36,services,single,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
38231,36,technician,married,6.0,no,no,-3.4,92.431,-26.9,0.741,5018,yes
38829,52,technician,married,6.0,yes,no,-3.4,92.649,-30.1,0.714,5018,no
25128,37,blue-collar,single,5.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
11759,40,admin.,married,5.0,no,no,1.4,94.465,-41.8,4.959,5228,no
34055,42,blue-collar,married,2.0,no,no,-1.8,92.893,-46.2,1.281,5099,no
17413,39,blue-collar,married,5.0,yes,no,1.4,93.918,-42.7,4.962,5228,no
16967,46,blue-collar,married,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
18106,44,admin.,single,7.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
29410,28,entrepreneur,married,7.0,no,no,-1.8,93.075,-47.1,1.405,5099,no
4558,56,admin.,married,4.0,no,no,1.1,93.994,-36.4,4.856,5191,no
11846,39,technician,single,5.0,yes,no,1.4,94.465,-41.8,4.959,5228,no
26976,34,technician,married,5.0,yes,yes,-0.1,93.2,-42.0,4.076,5196,no
2691,48,admin.,married,7.0,yes,yes,1.1,93.994,-36.4,4.859,5191,no
31205,20,blue-collar,single,5.0,yes,no,-1.8,92.893,-46.2,1.334,5099,no
26170,32,admin.,single,7.0,no,no,-0.1,93.2,-42.0,4.12,5196,no
40084,32,entrepreneur,married,7.0,no,yes,-1.7,94.215,-40.3,0.822,4992,no
28486,42,self-employed,married,7.0,no,no,-1.8,93.075,-47.1,1.423,5099,yes
37144,40,admin.,married,7.0,no,no,-2.9,92.201,-31.4,0.884,5076,no
